SubGroup_Code,Description,Weight,CPI,Date
1.1.01,Cereals and products,9.67,129.8,2016-09-01
1.1.01,Cereals and products,9.67,130.5,2016-10-01
1.1.01,Cereals and products,9.67,131.5,2016-11-01
1.1.01,Cereals and products,9.67,132.3,2016-12-01
1.1.01,Cereals and products,9.67,132.7,2017-01-01
1.1.01,Cereals and products,9.67,133.1,2017-02-01
1.1.01,Cereals and products,9.67,133.3,2017-03-01
1.1.01,Cereals and products,9.67,133.0,2017-04-01
1.1.01,Cereals and products,9.67,132.9,2017-05-01
1.1.01,Cereals and products,9.67,133.3,2017-06-01
1.1.01,Cereals and products,9.67,133.6,2017-07-01
1.1.01,Cereals and products,9.67,134.3,2017-08-01
1.1.01,Cereals and products,9.67,134.7,2017-09-01
1.1.01,Cereals and products,9.67,135.3,2017-10-01
1.1.01,Cereals and products,9.67,135.7,2017-11-01
1.1.01,Cereals and products,9.67,135.7,2017-12-01
1.1.01,Cereals and products,9.67,135.9,2018-01-01
1.1.01,Cereals and products,9.67,135.9,2018-02-01
1.1.01,Cereals and products,9.67,136.2,2018-03-01
1.1.01,Cereals and products,9.67,136.6,2018-05-01
1.1.01,Cereals and products,9.67,136.9,2018-06-01
1.1.01,Cereals and products,9.67,137.5,2018-07-01
1.1.01,Cereals and products,9.67,138.3,2018-08-01
1.1.01,Cereals and products,9.67,138.8,2018-10-01
1.1.01,Cereals and products,9.67,137.4,2018-11-01
1.1.01,Cereals and products,9.67,137.5,2018-12-01
1.1.01,Cereals and products,9.67,137.2,2019-01-01
1.1.01,Cereals and products,9.67,137.7,2019-02-01
1.1.01,Cereals and products,9.67,137.9,2019-03-01
1.1.01,Cereals and products,9.67,138.0,2019-04-01
1.1.01,Cereals and products,9.67,138.3,2019-05-01
1.1.01,Cereals and products,9.67,138.7,2019-06-01
1.1.01,Cereals and products,9.67,139.3,2019-07-01
1.1.01,Cereals and products,9.67,140.1,2019-08-01
1.1.01,Cereals and products,9.67,140.9,2019-09-01
1.1.01,Cereals and products,9.67,141.8,2019-10-01
1.1.01,Cereals and products,9.67,142.5,2019-11-01
1.1.01,Cereals and products,9.67,143.5,2019-12-01
1.1.01,Cereals and products,9.67,144.3,2020-01-01
1.1.01,Cereals and products,9.67,144.8,2020-02-01
1.1.01,Cereals and products,9.67,145.1,2020-03-01
1.1.01,Cereals and products,9.67,148.7,2020-04-01
1.1.01,Cereals and products,9.67,148.6,2020-05-01
1.1.01,Cereals and products,9.67,147.7,2020-06-01
1.1.01,Cereals and products,9.67,149.0,2020-07-01
1.1.01,Cereals and products,9.67,148.4,2020-08-01
1.1.01,Cereals and products,9.67,147.5,2020-09-01
1.1.01,Cereals and products,9.67,145.8,2020-11-01
1.1.01,Cereals and products,9.67,144.9,2020-12-01
1.1.01,Cereals and products,9.67,144.4,2021-01-01
1.1.01,Cereals and products,9.67,144.3,2021-02-01
1.1.01,Cereals and products,9.67,144.1,2021-03-01
1.1.01,Cereals and products,9.67,144.3,2021-04-01
1.1.01,Cereals and products,9.67,146.3,2021-05-01
1.1.01,Cereals and products,9.67,146.7,2021-06-01
1.1.01,Cereals and products,9.67,146.3,2021-07-01
1.1.01,Cereals and products,9.67,146.3,2021-08-01
1.1.01,Cereals and products,9.67,146.6,2021-09-01
1.1.01,Cereals and products,9.67,147.4,2021-10-01
1.1.01,Cereals and products,9.67,148.2,2021-11-01
1.1.01,Cereals and products,9.67,148.7,2021-12-01
1.1.01,Cereals and products,9.67,149.4,2022-01-01
1.1.01,Cereals and products,9.67,150.0,2022-02-01
1.1.01,Cereals and products,9.67,151.2,2022-03-01
1.1.01,Cereals and products,9.67,152.9,2022-04-01
1.1.01,Cereals and products,9.67,154.1,2022-05-01
1.1.01,Cereals and products,9.67,155.0,2022-06-01
1.1.01,Cereals and products,9.67,156.5,2022-07-01
1.1.01,Cereals and products,9.67,160.3,2022-08-01
1.1.01,Cereals and products,9.67,163.5,2022-09-01
1.1.01,Cereals and products,9.67,165.2,2022-10-01
1.1.01,Cereals and products,9.67,167.4,2022-11-01
1.1.01,Cereals and products,9.67,169.2,2022-12-01
1.1.01,Cereals and products,9.67,173.6,2023-01-01
1.1.01,Cereals and products,9.67,175.1,2023-02-01
1.1.01,Cereals and products,9.67,174.4,2023-03-01
1.1.01,Cereals and products,9.67,173.8,2023-04-01
1.1.01,Cereals and products,9.67,173.6,2023-05-01
1.1.01,Cereals and products,9.67,174.7,2023-06-01
1.1.01,Cereals and products,9.67,176.9,2023-07-01
1.1.01,Cereals and products,9.67,179.3,2023-08-01
1.1.01,Cereals and products,9.67,181.4,2023-09-01
1.1.01,Cereals and products,9.67,182.8,2023-10-01
1.1.01,Cereals and products,9.67,184.6,2023-11-01
1.1.01,Cereals and products,9.67,186.0,2023-12-01
1.1.01,Cereals and products,9.67,187.4,2024-01-01
1.1.01,Cereals and products,9.67,188.4,2024-02-01
1.1.01,Cereals and products,9.67,189.0,2024-03-01
1.1.01,Cereals and products,9.67,188.8,2024-04-01
1.1.01,Cereals and products,9.67,188.8,2024-05-01
1.1.01,Cereals and products,9.67,190.1,2024-06-01
1.1.01,Cereals and products,9.67,191.3,2024-07-01
1.1.01,Cereals and products,9.67,192.4,2024-08-01
1.1.01,Cereals and products,9.67,193.8,2024-09-01
1.1.01,Cereals and products,9.67,195.6,2024-10-01
1.1.01,Cereals and products,9.67,197.3,2024-11-01
1.1.01,Cereals and products,9.67,198.1,2024-12-01
1.1.01,Cereals and products,9.67,199.1,2025-01-01
1.1.01,Cereals and products,9.67,200.0,2025-02-01
1.1.01,Cereals and products,9.67,200.2,2025-03-01
1.1.01,Cereals and products,9.67,198.9,2025-04-01
1.1.02,Meat and fish,3.61,138.0,2016-09-01
1.1.02,Meat and fish,3.61,137.8,2016-10-01
1.1.02,Meat and fish,3.61,137.9,2016-11-01
1.1.02,Meat and fish,3.61,137.7,2016-12-01
1.1.02,Meat and fish,3.61,138.1,2017-01-01
