Date,Weighted_CPI,CPI_pct_change,CPI_yoy_change,Month,Year,Is_start_of_year,Lag_1,Lag_2,Lag_3,CPI_roll_mean_3,CPI_roll_std_3,Month_sin,Month_cos
2017-09-01,135.06019826517965,-0.4426452832884342,2.6965074440979953,9,2017,0,135.66069392812886,134.3206567534077,131.97071871127636,135.0138496489054,0.6712198247080599,-1.0,-1.8369701987210297e-16
2017-10-01,135.82510532837668,0.5663452838231331,2.8724472375759147,10,2017,0,135.06019826517965,135.66069392812886,134.3206567534077,135.5153325072284,0.4026389956850887,-0.8660254037844386,0.5000000000000001
2017-11-01,137.2275960346964,1.0325710426868362,4.181349448032767,11,2017,0,135.82510532837668,135.06019826517965,135.66069392812886,136.03763320941758,1.0992176072055837,-0.5000000000000004,0.8660254037844384
2017-12-01,136.44027261462205,-0.5737354896716895,4.502199146156904,12,2017,0,137.2275960346964,135.82510532837668,135.06019826517965,136.49765799256502,0.7030041653709589,-2.4492935982947064e-16,1.0
2018-01-01,135.9170879801735,-0.38345323152958466,4.364424648347809,1,2018,1,136.44027261462205,137.2275960346964,135.82510532837668,136.5283188764973,0.6596756387910492,0.49999999999999994,0.8660254037844387
2018-02-01,135.12750929368028,-0.5809267239513027,3.6328356200470147,2,2018,0,135.9170879801735,136.44027261462205,137.2275960346964,135.82828996282527,0.6608711675627266,0.8660254037844386,0.5000000000000001
2018-03-01,135.22579925650558,0.07273867722350502,3.594850939891159,3,2018,0,135.12750929368028,135.9170879801735,136.44027261462205,135.4234655101198,0.43030522469989757,1.0,6.123233995736766e-17
2018-05-01,136.55085501858736,0.9798838456619663,4.401514684268859,5,2018,0,135.22579925650558,135.12750929368028,135.9170879801735,135.63472118959106,0.7949157965917627,0.49999999999999994,-0.8660254037844387
2018-06-01,137.58612143742258,0.758154475630568,4.977943021536602,6,2018,0,136.55085501858736,135.22579925650558,135.12750929368028,136.4542585708385,1.1831222906867782,1.2246467991473532e-16,-1.0
2018-07-01,138.82903345724907,0.9033701995820875,5.196845794995797,7,2018,0,137.58612143742258,136.55085501858736,135.22579925650558,137.65533663775298,1.1406652916446263,-0.4999999999999997,-0.8660254037844388
2018-08-01,139.3426641883519,0.3699735698736273,3.7388198928805627,8,2018,0,138.82903345724907,137.58612143742258,136.55085501858736,138.5859396943412,0.903150896657566,-0.8660254037844385,-0.5000000000000004
2018-10-01,139.14410161090458,-0.1424994839907212,2.5677354154042487,10,2018,0,139.3426641883519,138.82903345724907,137.58612143742258,139.10526641883519,0.2590082259114459,-0.8660254037844386,0.5000000000000001
2018-11-01,139.07998760842628,-0.046077413081868634,2.9762945670745333,11,2018,0,139.14410161090458,139.3426641883519,138.82903345724907,139.18891780256092,0.1369529652306543,-0.5000000000000004,0.8660254037844384
2018-12-01,138.52887236679058,-0.3962577586556493,1.9906239217537536,12,2018,0,139.07998760842628,139.14410161090458,139.3426641883519,138.91765386204048,0.33821729644447784,-2.4492935982947064e-16,1.0
2019-01-01,137.9919083023544,-0.38761888064346994,0.5569668854832566,1,2019,1,138.52887236679058,139.07998760842628,139.14410161090458,138.53358942585712,0.5440549899223213,0.49999999999999994,0.8660254037844387
2019-02-01,138.2159107806691,0.16233015476811996,1.3014032675399134,2,2019,0,137.9919083023544,138.52887236679058,139.07998760842628,138.2455638166047,0.26970739427825746,0.8660254037844386,0.5000000000000001
2019-03-01,138.7112639405204,0.358390837244027,2.0557944566576447,3,2019,0,138.2159107806691,137.9919083023544,138.52887236679058,138.30636100784798,0.368108769573745,1.0,6.123233995736766e-17
2019-04-01,139.50857496902103,0.5747990508128575,3.2421715594706413,4,2019,0,138.7112639405204,138.2159107806691,137.9919083023544,138.8119165634035,0.6521835545542399,0.8660254037844387,-0.4999999999999998
2019-05-01,140.4695539033457,0.688831446051319,3.877776781998099,5,2019,0,139.50857496902103,138.7112639405204,138.2159107806691,139.56313093762904,0.8804136321213756,0.49999999999999994,-0.8660254037844387
2019-06-01,141.59285006195788,0.7996723328281385,3.6923936087285503,6,2019,0,140.4695539033457,139.50857496902103,138.7112639405204,140.52365964477488,1.0431904136828343,1.2246467991473532e-16,-1.0
2019-07-01,143.1173110285006,1.076651092110703,4.020165357734684,7,2019,0,141.59285006195788,140.4695539033457,139.50857496902103,141.72657166460138,1.3289339895987589,-0.4999999999999997,-0.8660254037844388
2019-08-01,144.0729368029739,0.6677220020455898,3.777238244145553,8,2019,0,143.1173110285006,141.59285006195788,140.4695539033457,142.9276992978108,1.2508685050998167,-0.8660254037844385,-0.5000000000000004
2019-09-01,144.86399008674104,0.5490644539639877,3.9624087357235105,9,2019,0,144.0729368029739,143.1173110285006,141.59285006195788,144.01807930607185,0.8746307459990772,-1.0,-1.8369701987210297e-16
2019-10-01,146.49001239157374,1.122447548116745,5.279354780852219,10,2019,0,144.86399008674104,144.0729368029739,143.1173110285006,145.1423130937629,1.2323397958467566,-0.8660254037844386,0.5000000000000001
2019-11-01,147.88758364312267,0.954038591937012,6.332755837952608,11,2019,0,146.49001239157374,144.86399008674104,144.0729368029739,146.41386204047916,1.5132345011679147,-0.5000000000000004,0.8660254037844384
2019-12-01,150.1214869888476,1.5105415145031609,8.3683743496898,12,2019,0,147.88758364312267,146.49001239157374,144.86399008674104,148.166361007848,1.831717650723344,-2.4492935982947064e-16,1.0
2020-01-01,149.66372986369268,-0.3049244544113372,8.458337669890126,1,2020,1,150.1214869888476,147.88758364312267,146.49001239157374,149.22426683188766,1.1800113799240548,0.49999999999999994,0.8660254037844387
2020-02-01,147.96484510532835,-1.1351345846529415,7.053409603565508,2,2020,0,149.66372986369268,150.1214869888476,147.88758364312267,149.25002065262288,1.1362845316767871,0.8660254037844386,0.5000000000000001
2020-03-01,147.22459727385376,-0.5002862882380277,6.1374491814766285,3,2020,0,147.96484510532835,149.66372986369268,150.1214869888476,148.28439074762494,1.250569474613213,1.0,6.123233995736766e-17
2020-04-01,151.14442357360883,2.662480572090664,8.340597420030726,4,2020,0,147.22459727385376,147.96484510532835,149.66372986369268,148.77795531759696,2.0825755011600853,0.8660254037844387,-0.4999999999999998
2020-05-01,151.67084415584415,0.34828978124947785,7.974176567974167,5,2020,0,151.14442357360883,147.22459727385376,147.96484510532835,150.0132883344356,2.429378116077102,0.49999999999999994,-0.8660254037844387
2020-06-01,150.86115241635687,-0.5338479811289987,6.545741787345483,6,2020,0,151.67084415584415,151.14442357360883,147.22459727385376,151.2254733819366,0.41088560673018754,1.2246467991473532e-16,-1.0
